symbol,regularMarketPrice,previousClose,currency,exchangeName,marketState,last_open,last_high,last_low,last_close,last_volume,regularMarketTime
TSLA,429.52,445.91,USD,NMS,,429.5199890136719,429.5199890136719,429.5199890136719,429.5199890136719,0,2025-11-07 21:00:00
AMZN,244.41,243.04,USD,NMS,,244.41000366210938,244.41000366210938,244.41000366210938,244.41000366210938,0,2025-11-07 21:00:02
PYPL,66.22,66.26,USD,NMS,,66.22000122070312,66.22000122070312,66.22000122070312,66.22000122070312,0,2025-11-07 21:00:00
ORCL,239.26,243.8,USD,NYQ,,239.25999450683594,239.25999450683594,239.25999450683594,239.25999450683594,0,2025-11-07 21:02:49
IBM,306.38,312.42,USD,NYQ,,306.3800048828125,306.3800048828125,306.3800048828125,306.3800048828125,0,2025-11-07 21:00:02
UNH,324.21,321.56,USD,NYQ,,324.2099914550781,324.2099914550781,324.2099914550781,324.2099914550781,0,2025-11-07 21:00:02
JNJ,186.57,186.97,USD,NYQ,,186.57000732421875,186.57000732421875,186.57000732421875,186.57000732421875,0,2025-11-07 21:00:02
V,336.02,336.96,USD,NYQ,,336.0199890136719,336.0199890136719,336.0199890136719,336.0199890136719,0,2025-11-07 21:00:02
XOM,117.22,114.5,USD,NYQ,,117.22000122070312,117.22000122070312,117.22000122070312,117.22000122070312,0,2025-11-07 21:00:16
CVX,155.02,152.94,USD,NYQ,,155.02000427246094,155.02000427246094,155.02000427246094,155.02000427246094,0,2025-11-07 21:00:37
C,100.79,100.85,USD,NYQ,,100.79000091552734,100.79000091552734,100.79000091552734,100.79000091552734,0,2025-11-07 21:00:32
VZ,40.03,39.82,USD,NYQ,,40.029998779296875,40.029998779296875,40.029998779296875,40.029998779296875,0,2025-11-07 21:00:02
PFE,24.43,24.42,USD,NYQ,,24.43000030517578,24.43000030517578,24.43000030517578,24.43000030517578,0,2025-11-07 21:04:19
ABBV,219.16,219.04,USD,NYQ,,219.16000366210938,219.16000366210938,219.16000366210938,219.16000366210938,0,2025-11-07 21:00:02
LLY,924.37,937.44,USD,NYQ,,924.3699951171875,924.3699951171875,924.3699951171875,924.3699951171875,0,2025-11-07 21:00:02
BMY,46.69,46.63,USD,NYQ,,46.689998626708984,46.689998626708984,46.689998626708984,46.689998626708984,0,2025-11-07 21:00:02
BA,194.61,196.5,USD,NYQ,,194.61000061035156,194.61000061035156,194.61000061035156,194.61000061035156,0,2025-11-07 21:00:02
CAT,563.1,569.78,USD,NYQ,,563.0999755859375,563.0999755859375,563.0999755859375,563.0999755859375,0,2025-11-07 21:00:02
COST,922.74,923.58,USD,NMS,,922.739990234375,922.739990234375,922.739990234375,922.739990234375,0,2025-11-07 21:00:02
